Rk,team,year,Date,Time,LTime,away,Opp,week,G#,Day,Result,OT,Att,Yds,Y/A,TD
734,BAL,2018,2018-09-13,8:20,8:20,@,CIN,2,2,Thu,L 23-34,,28,108,3.86,0
735,LAC,2018,2018-11-18,4:05,1:05,,DEN,11,10,Sun,L 22-23,,19,108,5.68,3
736,SF,2018,2018-11-25,1:00,1:00,@,TB,12,11,Sun,L 9-27,,31,108,3.48,1
737,ATL,2017,2017-11-12,4:25,4:25,,DAL,10,9,Sun,W 27-7,,21,107,5.10,1
738,CLE,2018,2018-09-20,8:20,8:20,,NYJ,3,3,Thu,W 21-17,,30,107,3.57,2
739,IND,2018,2018-10-14,1:00,1:00,@,NYJ,6,6,Sun,L 34-42,,36,107,2.97,0
740,ARI,2018,2018-10-28,4:25,2:25,,SF,8,8,Sun,W 18-15,,31,107,3.45,0
741,ARI,2019,2019-10-20,1:00,1:00,@,NYG,7,7,Sun,W 27-21,,22,107,4.86,1
742,DET,2018,2018-10-21,1:00,1:00,@,MIA,7,6,Sun,W 32-21,,19,107,5.63,1
743,GB,2018,2018-12-09,1:00,12:00,,ATL,14,13,Sun,W 34-20,,24,107,4.46,0
744,KC,2017,2017-09-17,1:00,12:00,,PHI,2,2,Sun,W 27-20,,17,107,6.29,0
745,LA,2018,2018-10-21,4:25,1:25,@,SF,7,7,Sun,W 39-10,,24,107,4.46,0
746,CHI,2019,2019-12-22,8:20,7:20,,KC,16,15,Sun,L 3-26,,29,106,3.66,1
747,HOU,2019,2019-12-21,1:00,1:00,@,TB,16,15,Sat,W 23-20,,21,106,5.05,1
748,MIN,2018,2018-10-28,8:20,10:20,,NO,8,8,Sun,L 20-30,,29,106,3.66,1
749,TEN,2019,2019-10-27,1:00,12:00,,TB,8,8,Sun,W 27-23,,30,106,3.53,0
750,PIT,2019,2019-12-01,1:00,1:00,,CLE,13,12,Sun,W 20-13,,24,106,4.42,0
751,LA,2018,2018-10-28,4:25,1:25,,GB,8,8,Sun,W 29-27,,19,106,5.58,2
752,LA,2019,2019-12-08,8:20,5:20,,SEA,14,13,Sun,W 28-12,,21,106,5.05,0
753,BAL,2019,2019-10-20,4:25,1:25,@,SEA,7,7,Sun,W 30-16,,26,106,4.08,0
754,LAC,2018,2018-09-09,4:05,1:05,,KC,1,1,Sun,L 28-38,,27,106,3.93,0
755,SEA,2019,2019-11-24,1:00,1:00,@,PHI,12,11,Sun,W 17-9,,23,106,4.61,0
756,ATL,2017,2017-12-03,1:00,1:00,,MIN,13,12,Sun,L 9-14,,31,105,3.39,0
757,BUF,2018,2018-12-16,1:00,1:00,,DET,15,14,Sun,W 14-13,,26,105,4.04,1
758,CHI,2019,2019-11-28,12:30,12:30,@,DET,13,12,Thu,W 24-20,,27,105,3.89,0
759,HOU,2018,2018-11-26,8:15,7:15,,TEN,12,11,Mon,W 34-17,,23,105,4.57,0
760,NO,2018,2018-12-09,1:00,1:00,@,TB,14,13,Sun,W 28-14,,23,105,4.57,0
761,LAC,2017,2017-12-31,4:25,1:25,,OAK,17,16,Sun,W 30-10,,23,105,4.57,0
762,CLE,2017,2017-11-12,1:00,1:00,@,DET,10,9,Sun,L 24-38,,19,104,5.47,1
763,DEN,2017,2017-11-26,4:25,1:25,@,OAK,12,11,Sun,L 14-21,,37,104,2.81,1
764,HOU,2017,2017-11-12,4:05,1:05,@,LA,10,9,Sun,L 7-33,,25,104,4.16,0
765,HOU,2017,2017-12-25,4:30,3:30,,PIT,16,15,Mon,L 6-34,,28,104,3.71,2
766,JAC,2019,2019-10-13,1:00,1:00,,NO,6,6,Sun,L 6-13,,26,104,4.00,0
